player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_received
Aleksandar Mitrović,FW,Fulham,27,13,1402,15.6,3,3,6,2,1,2,3,0,6.2,4.6,2.7,7.3,10,27,88
Jakub Moder,"DF,MF",Brighton,12,7,647,7.2,0,0,0,0,0,0,0,0,0.8,0.8,0.2,0.9,21,30,50
Jayson Molumby,MF,Brighton,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Moraes,FW,Aston Villa,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wes Morgan,DF,Leicester City,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Mason Mount,MF,Chelsea,36,32,2890,32.1,6,5,11,5,1,1,2,0,6.3,5.5,8.2,13.7,131,233,225
Lucas Moura,"FW,MF",Tottenham,30,14,1411,15.7,3,4,7,3,0,0,1,0,1.9,1.9,2,3.9,43,46,78
Lys Mousset,"FW,MF",Sheffield Utd,11,2,296,3.3,0,0,0,0,0,0,0,0,1,1,0.3,1.3,3,3,16
João Moutinho,MF,Wolves,33,28,2528,28.1,1,1,2,1,0,0,5,1,0.6,0.6,2.4,3.1,32,169,37
Joel Mumbongo,FW,Burnley,4,0,40,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Jacob Murphy,"DF,MF",Newcastle Utd,26,17,1626,18.1,2,3,5,2,0,0,3,0,1.7,1.7,3.8,5.4,48,47,46
Shkodran Mustafi,DF,Arsenal,3,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
Marvelous Nakamba,MF,Aston Villa,13,9,749,8.3,0,0,0,0,0,0,3,0,0,0,0.1,0.1,1,9,2
Iliman Ndiaye,MF,Sheffield Utd,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilfred Ndidi,"MF,DF",Leicester City,26,25,2176,24.2,1,4,5,1,0,0,6,0,0.7,0.7,1.3,2,7,73,17
