player,position,team,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,times_tackled_during_take_on,carries,total_carrying_distance,progressive_carrying_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Harvey Barnes,"FW,MF",Leicester City,914,13,109,344,482,96,914,89,40,49,591,4576,2576,79,33,58,31,706
Kyle Bartley,DF,West Brom,1172,266,712,393,73,40,1172,4,4,0,440,2113,859,3,0,9,2,507
Chris Basham,"DF,MF",Sheffield Utd,1518,168,574,665,295,41,1518,30,21,9,707,4074,2566,32,2,30,19,792
Michy Batshuayi,FW,Crystal Palace,255,6,23,132,104,25,255,17,11,6,146,875,517,10,7,26,22,197
Jan Bednarek,DF,Southampton,2480,276,1277,1156,57,16,2480,6,5,1,1357,6240,3249,8,0,11,5,1516
Donny van de Beek,"MF,FW",Manchester Utd,345,12,58,184,106,24,345,11,8,3,183,637,272,6,0,11,8,243
Héctor Bellerín,"DF,MF",Arsenal,1527,55,394,658,482,47,1527,25,12,13,811,3779,2176,32,9,24,5,961
Saïd Benrahma,"FW,MF",West Ham,752,13,113,307,351,49,752,80,42,38,509,3605,1793,35,16,48,33,535
Josh Benson,MF,Burnley,110,3,16,59,36,2,110,7,2,5,52,202,116,2,0,4,4,72
Christian Benteke,FW,Crystal Palace,837,53,82,411,350,118,837,27,16,11,351,1499,464,10,9,59,27,661
Gaetano Berardi,DF,Leeds United,72,6,37,32,3,1,72,0,0,0,36,138,79,0,0,0,0,45
Jóhann Berg Guðmundsson,MF,Burnley,612,27,96,267,254,29,612,27,10,17,358,2073,798,15,2,17,12,414
Sander Berge,MF,Sheffield Utd,590,31,109,295,199,31,589,32,20,12,363,2831,1397,30,10,24,13,390
Steven Bergwijn,"FW,MF",Tottenham,556,11,81,238,250,33,556,45,22,23,354,2096,999,31,11,30,15,411
Bernard,"MF,FW",Everton,337,7,34,163,141,14,337,16,10,6,225,1116,540,10,2,16,11,246
Bernardo,"DF,MF",Brighton,113,4,24,36,53,6,113,3,0,3,63,234,104,2,0,1,4,79
Ryan Bertrand,DF,Southampton,1803,58,427,894,492,42,1803,9,3,6,827,4066,2364,41,6,25,8,1030
Yves Bissouma,MF,Brighton,2106,99,500,1272,371,11,2106,73,53,20,1211,7336,3269,45,2,33,29,1364
Jayden Bogle,"DF,MF",Sheffield Utd,568,26,154,172,250,33,568,31,11,20,267,1182,482,7,5,20,17,291
Willy Boly,DF,Wolves,1243,126,599,603,47,23,1243,4,4,0,687,2742,1284,8,2,10,3,826
Jarrod Bowen,"FW,MF",West Ham,1038,12,142,391,528,103,1038,67,36,31,611,5080,1881,44,40,63,50,692
Robbie Brady,MF,Burnley,537,43,121,240,185,22,537,15,11,4,250,1482,597,11,3,17,9,292
Rhian Brewster,"FW,MF",Sheffield Utd,342,4,27,140,178,30,342,15,8,7,176,801,306,11,4,20,18,225
Nathan Broadhead,FW,Everton,3,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2
Josh Brownhill,MF,Burnley,1506,69,262,835,423,61,1506,21,15,7,682,2691,1125,33,4,35,15,819
Joe Bryan,"DF,MF",Fulham,500,20,150,195,159,7,500,14,14,0,259,1277,720,14,1,13,3,289
Kean Bryan,DF,Sheffield Utd,600,60,272,278,56,7,600,5,3,2,293,1300,682,6,0,10,1,322
Oliver Burke,FW,Sheffield Utd,431,4,33,170,232,62,431,30,16,14,239,1582,613,20,21,47,28,307
Dan Burn,DF,Brighton,1549,109,474,756,332,40,1549,20,12,8,749,3852,2098,22,1,28,9,934
Jack Butland,GK,Crystal Palace,24,17,24,0,0,0,24,0,0,0,11,72,58,0,0,0,0,4
David Button,GK,West Brom,37,31,37,0,0,0,37,0,0,0,19,103,54,0,0,0,0,13
Oskar Buur,DF,Wolves,18,1,7,11,0,0,18,0,0,0,8,34,21,0,0,0,1,13
Willy Caballero,GK,Chelsea,26,19,26,0,0,0,26,0,0,0,13,46,34,0,0,0,0,16
Gary Cahill,DF,Crystal Palace,938,145,564,334,41,27,938,1,1,0,449,2207,997,0,0,7,1,529
Tom Cairney,MF,Fulham,687,8,86,369,238,14,687,17,16,1,469,2272,1035,15,4,15,11,567
Dominic Calvert-Lewin,FW,Everton,1044,44,92,452,508,144,1044,49,22,27,530,2945,953,23,16,102,29,829
João Cancelo,"DF,MF",Manchester City,2421,66,464,1199,780,68,2421,81,47,34,1472,6848,3454,74,24,36,21,1696
Ian Carlo Poveda,MF,Leeds United,180,3,28,62,95,13,180,23,12,11,125,1024,605,10,7,13,16,132
Andy Carroll,FW,Newcastle Utd,204,13,19,108,77,20,204,4,2,2,82,221,60,1,2,18,3,141
Scott Carson,GK,Manchester City,19,17,19,0,0,0,19,0,0,0,12,54,43,0,0,0,0,7
Fabio Carvalho,"MF,FW",Fulham,133,0,11,57,66,16,133,10,8,2,85,458,196,4,5,11,9,89
Matty Cash,DF,Aston Villa,1655,143,570,766,335,24,1655,18,12,6,756,4248,1961,33,5,20,13,812
Kiko Casilla,GK,Leeds United,103,88,103,0,0,0,103,0,0,0,47,211,126,0,0,0,0,37
Timothy Castagne,DF,Leicester City,1800,70,522,848,440,40,1800,24,11,13,919,3963,2154,27,3,24,11,1160
Jonny Castro,"MF,DF",Wolves,299,14,85,135,80,6,299,8,3,5,128,725,400,6,2,9,7,167
Ivan Cavaleiro,FW,Fulham,1201,25,145,473,597,73,1199,98,53,45,714,4723,1870,41,23,100,50,834
Edinson Cavani,FW,Manchester Utd,466,12,34,196,238,69,466,12,6,6,223,764,185,4,4,31,10,337
Dani Ceballos,MF,Arsenal,1482,61,320,845,331,23,1482,38,26,12,964,6293,3308,49,3,23,15,1090
Calum Chambers,DF,Arsenal,687,42,243,274,173,18,687,10,4,6,341,1596,778,12,0,7,4,412
Ben Chilwell,DF,Chelsea,2104,49,518,875,725,65,2104,27,16,11,1173,6779,3594,68,9,34,19,1418
Hamza Choudhury,MF,Leicester City,286,10,70,186,31,2,286,1,0,1,162,635,326,1,0,6,0,187
Andreas Christensen,DF,Chelsea,1272,163,687,562,34,7,1272,7,7,0,799,3892,2134,12,0,9,1,939
Carney Chukwuemeka,"MF,FW",Aston Villa,13,0,2,5,6,2,13,0,0,0,7,12,8,0,0,1,0,11
Ciaran Clark,DF,Newcastle Utd,1026,179,610,374,48,16,1026,8,4,4,520,2406,1090,4,0,11,1,568
Nathaniel Clyne,DF,Crystal Palace,698,35,227,331,142,6,698,6,4,2,346,1638,820,10,0,8,2,364
Conor Coady,DF,Wolves,2137,402,1320,809,17,12,2137,8,6,2,1282,5200,2411,5,0,9,3,1494
Séamus Coleman,"DF,MF",Everton,964,73,320,422,237,29,964,33,20,13,540,3113,1426,28,4,27,23,579
Aaron Connolly,FW,Brighton,174,1,12,57,108,35,174,11,5,6,106,652,276,11,5,27,8,134
Liam Cooper,DF,Leeds United,1934,207,1087,806,51,23,1934,4,3,1,1122,5979,3577,8,0,7,1,1242
Theo Corbeanu,FW,Wolves,8,0,0,7,1,0,8,0,0,0,5,27,7,0,0,2,0,5
Jack Cork,MF,Burnley,639,26,106,397,143,13,639,7,5,2,322,1337,520,11,1,14,13,375
Hélder Costa,"MF,FW",Leeds United,497,9,92,182,230,44,497,48,19,29,303,2135,1162,17,13,43,20,337
Vladimír Coufal,DF,West Ham,2096,162,629,897,588,42,2096,24,15,9,897,4638,2079,38,9,36,16,1057
Aaron Cresswell,DF,West Ham,2366,169,758,1071,555,14,2366,10,4,6,1148,5201,2524,31,0,13,9,1349
Patrick Cutrone,FW,Wolves,4,0,0,1,3,1,4,0,0,0,2,5,0,0,0,1,0,4
Stuart Dallas,"MF,DF",Leeds United,2600,86,691,1299,636,58,2600,33,22,11,1475,8193,4303,68,10,53,34,1747
Scott Dann,DF,Crystal Palace,769,103,424,324,25,17,769,4,4,0,397,1543,779,0,0,5,0,446
Karl Darlow,GK,Newcastle Utd,808,697,802,7,0,0,808,0,0,0,336,2189,1341,0,0,1,0,226
Ben Davies,DF,Tottenham,954,77,305,462,192,13,954,7,3,4,469,2152,1221,20,3,5,2,554
Tom Davies,MF,Everton,866,57,278,497,105,4,866,24,18,6,507,2495,1166,7,1,21,10,576
Keinan Davis,"FW,MF",Aston Villa,118,3,8,46,67,29,118,12,9,3,73,401,182,6,4,10,4,97
Leif Davis,DF,Leeds United,25,3,16,7,3,0,25,0,0,0,15,100,46,2,0,1,1,17
Craig Dawson,DF,West Ham,961,164,540,396,32,21,961,0,0,0,522,2266,1078,3,0,5,0,537
Kevin De Bruyne,MF,Manchester City,1686,13,105,715,890,92,1683,67,48,19,1029,5855,3560,88,25,45,33,1285
Liam Delap,FW,Manchester City,10,0,0,7,3,1,10,0,0,0,5,7,0,0,0,3,1,7
Fabian Delph,"MF,DF",Everton,268,7,70,170,32,0,268,10,7,3,170,840,390,7,0,4,0,208
Leander Dendoncker,"MF,DF",Wolves,1488,95,435,834,227,59,1488,13,7,6,727,3396,1628,12,4,30,11,967
Mbaye Diagne,FW,West Brom,346,20,51,152,147,42,346,16,10,6,186,754,288,2,4,26,19,280
Amad Diallo,FW,Manchester Utd,93,3,19,49,28,1,93,14,5,9,63,431,227,6,0,5,5,64
Ibrahima Diallo,MF,Southampton,722,26,164,468,102,9,722,17,10,7,410,1972,897,15,0,20,15,496
Grady Diangana,"MF,FW",West Brom,579,19,123,218,250,28,579,49,25,24,309,1641,818,25,7,52,38,378
Rúben Dias,DF,Manchester City,2954,245,1046,1846,74,29,2954,8,6,2,2087,11819,7375,19,0,10,4,2369
Eric Dier,DF,Tottenham,2057,334,1136,875,56,21,2057,4,3,1,1249,6795,3953,7,2,12,1,1427
Lucas Digne,"DF,MF",Everton,2026,100,546,836,657,35,2026,28,18,10,905,4384,2316,33,3,33,20,1088
Issa Diop,DF,West Ham,735,106,364,362,11,8,735,5,3,2,365,1845,864,0,0,6,2,433
Moussa Djenepo,MF,Southampton,647,16,132,307,214,38,647,52,27,25,350,1804,846,18,15,49,17,392
Matt Doherty,DF,Tottenham,1018,59,319,468,240,15,1018,17,5,12,486,2013,1050,20,1,19,9,592
Gabriel Dos Santos,DF,Arsenal,1759,210,858,848,56,27,1759,6,5,1,1249,6992,4082,6,2,5,6,1329
Abdoulaye Doucouré,MF,Everton,1598,61,423,881,316,33,1598,33,21,12,857,4317,1973,41,3,35,26,1040
Martin Dúbravka,GK,Newcastle Utd,467,400,465,2,0,0,467,0,0,0,232,1356,698,0,0,1,0,165
