rank,player,nation,position,team,age,born,ninetys,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_free_kicks,penalties_made,penalties_attempted,expected_goals,non_penalty_expected_goals,non_penalty_expected_goal/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
21,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,29,1989,30.3,22,89,34,38.2,2.94,1.12,0.2,0.53,14.2,0,4,5,22.6,18.5,0.21,-0.6,-0.5
22,Serge Aurier,ci CIV,DF,Tottenham,25,1992,6.3,0,4,1,25,0.64,0.16,0,0,17.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
23,Charlie Austin,eng ENG,FW,Southampton,29,1989,10.9,2,31,7,22.6,2.84,0.64,0.06,0.29,16,0,0,1,3.6,3.3,0.11,-1.6,-1.3
24,Jordan Ayew,gh GHA,FW,Crystal Palace,26,1991,13.1,1,27,3,11.1,2.06,0.23,0.04,0.33,14.6,0,0,0,2.9,2.9,0.11,-1.9,-1.9
25,Floyd Ayité,tg TOG,"FW,MF",Fulham,29,1988,5.3,1,7,1,14.3,1.32,0.19,0.14,1,21.1,0,0,0,0.4,0.4,0.05,0.6,0.6
26,César Azpilicueta,es ESP,DF,Chelsea,28,1989,37.8,1,17,7,41.2,0.45,0.19,0.06,0.14,15.4,0,0,0,1.2,1.2,0.07,-0.2,-0.2
27,Ryan Babel,nl NED,"FW,MF",Fulham,31,1986,13.9,5,27,9,33.3,1.94,0.65,0.19,0.56,16,0,0,0,5.7,5.7,0.21,-0.7,-0.7
28,Juninho Bacuna,cw CUW,"MF,DF",Huddersfield,20,1997,15.7,1,19,8,42.1,1.21,0.51,0.05,0.13,27,2,0,0,0.7,0.7,0.04,0.3,0.3
29,Leandro Bacuna,cw CUW,MF,Cardiff City,26,1991,6.2,0,5,1,20,0.8,0.16,0,0,27.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
30,Eric Bailly,ci CIV,DF,Manchester Utd,24,1994,7.1,0,3,1,33.3,0.42,0.14,0,0,11.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2
31,Leighton Baines,eng ENG,DF,Everton,33,1984,4.2,0,2,1,50,0.48,0.24,0,0,25.5,1,0,0,0.1,0.1,0.05,-0.1,-0.1
32,Fabián Balbuena,py PAR,DF,West Ham,26,1991,22.4,1,19,2,10.5,0.85,0.09,0.05,0.5,9.3,0,0,0,2.1,2.1,0.12,-1.1,-1.1
33,Leon Balogun,ng NGA,DF,Brighton,30,1988,6.6,1,1,1,100,0.15,0.15,1,1,13.3,0,0,0,0.1,0.1,0.07,0.9,0.9
34,Sol Bamba,ci CIV,DF,Cardiff City,33,1985,27.5,4,22,7,31.8,0.8,0.25,0.18,0.57,9.7,0,0,0,4,4,0.19,0,0
35,Phil Bardsley,sct SCO,DF,Burnley,33,1985,18.6,0,12,1,8.3,0.65,0.05,0,0,26.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3
36,Ross Barkley,eng ENG,MF,Chelsea,24,1993,13.8,3,41,9,22,2.96,0.65,0.07,0.33,19.9,1,0,0,4,4,0.1,-1,-1
37,Ashley Barnes,eng ENG,FW,Burnley,28,1989,26.5,12,63,28,44.4,2.37,1.06,0.16,0.36,14.7,0,2,2,13.8,12.2,0.19,-1.8,-2.2
38,Harvey Barnes,eng ENG,"MF,FW",Leicester City,20,1997,11.2,1,40,10,25,3.59,0.9,0.03,0.1,17,0,0,0,3.9,3.9,0.1,-2.9,-2.9
39,Antonio Barreca,it ITA,DF,Newcastle Utd,23,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
40,Michy Batshuayi,be BEL,FW,Crystal Palace,24,1993,8.3,5,27,10,37,3.24,1.2,0.19,0.5,16.7,0,0,0,4,4,0.15,1,1
41,Jan Bednarek,pl POL,DF,Southampton,22,1996,23.9,0,5,1,20,0.21,0.04,0,0,7.5,0,0,0,0.8,0.8,0.16,-0.8,-0.8
42,Asmir Begović,ba BIH,GK,Bournemouth,31,1987,24,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
43,Héctor Bellerín,es ESP,DF,Arsenal,23,1995,17,0,18,4,22.2,1.06,0.23,0,0,18.5,0,0,0,0.9,0.9,0.05,-0.9,-0.9
44,Joe Bennett,eng ENG,DF,Cardiff City,28,1990,29.3,0,10,3,30,0.34,0.1,0,0,23.8,3,0,0,0.5,0.5,0.05,-0.5,-0.5
45,Ryan Bennett,eng ENG,DF,Wolves,28,1990,34,1,15,4,26.7,0.44,0.12,0.07,0.25,12.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3
