player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_recieved
Bernardo Silva,"MF,FW",Manchester City,36,31,2854,31.7,7,7,14,7,0,0,3,0,7.4,7.4,7.8,15.2,152,156,277
David Silva,MF,Manchester City,33,28,2401,26.7,6,8,14,6,0,0,2,0,7.8,7.8,8.5,16.3,118,270,222
Xande Silva,FW,West Ham,1,0,18,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,2
Danny Simpson,DF,Leicester City,6,3,292,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
Jack Simpson,DF,Bournemouth,6,4,403,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,16,0
Josh Sims,MF,Southampton,7,2,212,2.4,0,1,1,0,0,0,0,0,0.6,0.6,0.7,1.3,3,0,12
Moussa Sissoko,"MF,FW",Tottenham,29,27,2330,25.9,0,3,3,0,0,0,2,0,0.9,0.9,2.5,3.4,79,97,96
Oliver Skipp,MF,Tottenham,8,2,220,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,8,3
Callum Slattery,MF,Southampton,3,1,112,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,3,2
Chris Smalling,DF,Manchester Utd,24,24,2127,23.6,1,0,1,1,0,0,1,0,1.2,1.2,0.2,1.4,3,35,6
Adam Smith,"DF,MF",Bournemouth,25,25,2066,23,1,1,2,1,0,0,5,1,0.5,0.5,0.6,1.1,87,98,80
Tommy Smith,DF,Huddersfield,15,13,1141,12.7,0,0,0,0,0,0,2,1,0.1,0.1,0.4,0.5,19,35,38
Robert Snodgrass,MF,West Ham,33,25,2220,24.7,2,5,7,2,0,0,10,0,2.3,2.3,5.6,8,72,117,148
Cédric Soares,DF,Southampton,18,16,1495,16.6,1,2,3,1,0,0,4,0,0.3,0.3,1,1.4,31,54,66
Ramadan Sobhi,"FW,MF",Huddersfield,4,0,79,0.9,0,0,0,0,0,0,0,0,0,0,0.2,0.2,3,6,14
Dominic Solanke,"FW,MF",Bournemouth,10,2,347,3.9,0,1,1,0,0,0,0,0,1,1,0.4,1.3,10,6,24
Pape Souaré,DF,Crystal Palace,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Çağlar Söyüncü,DF,Leicester City,6,4,372,4.1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,10,0
Julián Speroni,GK,Crystal Palace,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Stanislas,"MF,FW",Bournemouth,23,11,1031,11.5,2,3,5,1,1,1,1,0,3.1,2.3,2,4.2,35,58,81
Dale Stephens,MF,Brighton,30,29,2485,27.6,1,1,2,1,0,0,6,1,0.3,0.3,0.7,1,16,151,8
Jack Stephens,DF,Southampton,24,19,1700,18.9,1,0,1,1,0,0,4,0,1,1,0.2,1.2,11,54,6
Raheem Sterling,FW,Manchester City,34,31,2771,30.8,17,9,26,17,0,0,3,0,13.7,13.7,9.6,23.3,155,87,436
John Stones,DF,Manchester City,24,20,1764,19.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.6,44,118,5
Daniel Sturridge,"FW,MF",Liverpool,18,4,509,5.7,2,1,3,2,0,0,1,0,1.2,1.2,0.8,2.1,9,31,37
Denis Suárez,"MF,FW",Arsenal,4,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5
Isaac Success,"FW,MF",Watford,30,9,1052,11.7,1,1,2,1,0,0,4,0,3.5,3.5,2.8,6.2,35,39,107
Ki Sung-yueng,MF,Newcastle Utd,18,14,1302,14.5,0,1,1,0,0,0,2,0,0.3,0.3,1,1.2,12,66,12
Andrew Surman,MF,Bournemouth,18,16,1439,16,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,3,89,10
Sam Surridge,"MF,FW",Bournemouth,2,0,13,0.1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.4,0,0,3
Alexander Sørloth,FW,Crystal Palace,12,0,185,2.1,0,0,0,0,0,0,0,0,0.5,0.5,0.9,1.4,4,9,13
Matt Targett,DF,Southampton,16,13,1186,13.2,1,3,4,1,0,0,2,0,0.5,0.5,2.3,2.8,24,53,89
James Tarkowski,DF,Burnley,35,35,3086,34.3,3,1,4,3,0,0,8,0,3.3,3.3,0.3,3.6,4,105,6
Charlie Taylor,DF,Burnley,38,35,3243,36,0,1,1,0,0,0,2,0,0.2,0.2,1.5,1.7,93,97,94
Youri Tielemans,MF,Leicester City,13,13,1086,12.1,3,4,7,3,0,0,2,0,1.8,1.8,2.5,4.3,24,85,53
James Tomkins,DF,Crystal Palace,29,29,2560,28.4,1,1,2,1,0,0,5,0,1.4,1.4,0.9,2.4,4,50,4
Lucas Torreira,MF,Arsenal,34,24,2382,26.5,2,2,4,2,0,0,7,1,1.5,1.5,1.2,2.7,28,140,35
Cenk Tosun,FW,Everton,25,10,1059,11.8,3,3,6,3,0,0,3,0,5,5,0.9,5.9,11,16,90
Andros Townsend,"FW,MF",Crystal Palace,38,34,3009,33.4,6,4,10,6,0,0,1,0,4.6,4.6,3.6,8.3,144,106,280
Adama Traoré,"FW,MF",Wolves,29,8,902,10,1,1,2,1,0,0,1,0,1.3,1.3,2.2,3.5,82,31,61
Mark Travers,GK,Bournemouth,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kieran Trippier,DF,Tottenham,27,26,2276,25.3,1,3,4,1,0,0,2,0,0.5,0.5,4.1,4.6,40,179,200
Antonio Valencia,DF,Manchester Utd,6,5,466,5.2,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.5,18,25,21
Yan Valery,DF,Southampton,23,20,1712,19,2,1,3,2,0,0,4,1,0.7,0.7,0.2,0.9,54,33,77
Virgil van Dijk,DF,Liverpool,38,38,3384,37.6,4,2,6,4,0,0,1,0,3.1,3.1,1.4,4.6,20,174,20
Jamie Vardy,FW,Leicester City,34,30,2726,30.3,18,4,22,14,4,5,3,1,18.3,14.4,5.1,19.5,45,39,186
Jan Vertonghen,DF,Tottenham,22,22,1911,21.2,1,0,1,1,0,0,4,1,1,1,0.2,1.3,27,121,24
Jannik Vestergaard,DF,Southampton,23,23,2027,22.5,0,0,0,0,0,0,2,0,0.7,0.7,0.6,1.3,14,62,4
Luciano Vietto,"FW,MF",Fulham,20,10,986,11,1,4,5,1,0,0,1,0,2.9,2.9,2.1,5,33,35,107
Rúben Vinagre,"DF,MF",Wolves,17,7,710,7.9,0,0,0,0,0,0,1,0,0.5,0.5,0.8,1.2,45,22,63
Sam Vokes,FW,Burnley,20,10,915,10.2,3,0,3,3,0,0,0,0,2.4,2.4,1.3,3.6,3,15,55
Michel Vorm,GK,Tottenham,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matěj Vydra,FW,Burnley,13,3,318,3.5,1,1,2,1,0,0,1,0,1.8,1.8,0.5,2.3,3,3,15
Theo Walcott,"FW,MF",Everton,37,24,2119,23.5,5,2,7,5,0,0,1,0,5.7,5.7,2.7,8.4,50,52,167
Kyle Walker,DF,Manchester City,33,30,2779,30.9,1,1,2,1,0,0,3,0,0.8,0.8,1.9,2.7,83,220,92
Kyle Walker-Peters,DF,Tottenham,6,4,376,4.2,0,3,3,0,0,0,1,0,0.3,0.3,0.5,0.8,15,13,17
Aaron Wan-Bissaka,DF,Crystal Palace,35,35,3134,34.8,0,3,3,0,0,0,4,1,0.5,0.5,2.1,2.6,100,159,119
Victor Wanyama,MF,Tottenham,13,4,516,5.7,1,0,1,1,0,0,2,0,1,1,0.1,1,13,28,6
Danny Ward,FW,Cardiff City,14,4,445,4.9,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.9,7,9,27
Joel Ward,DF,Crystal Palace,7,6,552,6.1,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,6,18,18
Stephen Ward,DF,Burnley,3,3,228,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,8,10,5
James Ward-Prowse,"MF,DF",Southampton,26,21,1945,21.6,7,0,7,6,1,1,4,0,3.4,2.7,3.2,5.9,15,61,86
Danny Welbeck,"FW,MF",Arsenal,8,1,153,1.7,1,1,2,1,0,0,0,0,0.8,0.8,0.3,1.1,6,10,11
Ashley Westwood,MF,Burnley,34,31,2824,31.4,2,7,9,2,0,0,5,0,1.9,1.9,4.8,6.7,16,175,40
Connor Wickham,"FW,MF",Crystal Palace,6,0,67,0.7,0,1,1,0,0,0,0,0,0.4,0.4,0.3,0.7,0,0,1
Georginio Wijnaldum,MF,Liverpool,35,32,2725,30.3,3,0,3,3,0,0,3,0,3,3,1.8,4.8,47,168,67
Danny Williams,MF,Huddersfield,5,1,96,1.1,0,0,0,0,0,0,1,0,0,0,0,0.1,1,3,1
Willian,FW,Chelsea,32,26,2097,23.3,3,6,9,3,0,0,2,0,4.2,4.2,5.4,9.6,143,141,283
Joe Willock,"MF,FW",Arsenal,2,1,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,7
Ben Wilmot,"MF,DF",Watford,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Jack Wilshere,MF,West Ham,8,4,392,4.4,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.8,8,20,10
Callum Wilson,FW,Bournemouth,30,29,2528,28.1,14,9,23,13,1,2,3,0,13.4,11.9,5.4,17.2,49,44,197
Harry Winks,MF,Tottenham,26,17,1597,17.7,1,0,1,1,0,0,4,0,1,1,0.3,1.3,56,124,19
Chris Wood,FW,Burnley,38,29,2588,28.8,10,2,12,10,0,0,2,0,8.8,8.8,3.8,12.6,13,25,199
Granit Xhaka,"MF,DF",Arsenal,29,29,2498,27.8,4,2,6,4,0,0,10,0,2,2,3.4,5.4,37,258,34
Andriy Yarmolenko,"MF,FW",West Ham,9,5,459,5.1,2,0,2,2,0,0,2,0,1.1,1.1,0.8,1.8,18,22,28
DeAndre Yedlin,DF,Newcastle Utd,29,28,2473,27.5,1,2,3,1,0,0,6,1,1.2,1.2,2,3.1,38,66,104
Maya Yoshida,DF,Southampton,17,17,1518,16.9,0,1,1,0,0,0,0,0,1.9,1.9,0.5,2.4,1,34,4
Ashley Young,DF,Manchester Utd,30,28,2569,28.5,2,2,4,2,0,0,9,1,0.5,0.5,3.1,3.6,71,155,124
Pablo Zabaleta,DF,West Ham,26,23,2092,23.2,0,1,1,0,0,0,4,0,0.2,0.2,1,1.2,31,103,107
Wilfried Zaha,FW,Crystal Palace,34,34,3036,33.7,10,5,15,10,0,0,9,1,5.7,5.7,4.8,10.6,182,141,355
Andre-Frank Zambo Anguissa,MF,Fulham,22,16,1517,16.9,0,0,0,0,0,0,2,1,0.8,0.8,0.2,1,34,112,20
Davide Zappacosta,DF,Chelsea,4,1,128,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,3,6
Oleksandr Zinchenko,DF,Manchester City,14,14,1151,12.8,0,3,3,0,0,0,1,0,0.2,0.2,1.5,1.7,47,95,94
Kenneth Zohore,FW,Cardiff City,19,7,753,8.4,1,1,2,1,0,0,1,0,1.7,1.7,1.1,2.8,10,5,57
Kurt Zouma,DF,Everton,32,29,2612,29,2,2,4,2,0,0,4,1,1.5,1.5,0.4,1.8,23,105,4
