rank,player,nation,position,team,age,born,matches_played,starts,minutes_played,ninetys,goals,assists,direct_goal_contributions,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_recieves,goals_per_90,assists_per_90,direct_goal_contributions_per_90,non_penalty_goals_per_90,direct_non_penalty_goal_contributions_per_90,expected_goals_per_90,expected_assisted_goals_per_90,expected_direct_goal_contributions_per_90,non_penalty_expected_goals_per_90,expected_non_penalty_direct_goal_contributions_per_90
243,Beram Kayal,il ISR,MF,Brighton,29,1988,19,8,745,8.3,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,4,27,13,0,0,0,0,0,0.03,0.06,0.09,0.03,0.09
244,Michael Keane,eng ENG,DF,Everton,24,1993,30,29,"2,560",28.4,0,1,1,0,0,0,3,0,1.1,1.1,0.5,1.6,11,83,3,0,0.04,0.04,0,0.04,0.04,0.02,0.06,0.04,0.06
245,Martin Kelly,eng ENG,DF,Crystal Palace,27,1990,15,12,"1,195",13.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.6,5,16,3,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
246,Kenedy,br BRA,"MF,DF",Newcastle Utd,21,1996,13,13,"1,023",11.4,2,2,4,2,0,0,1,0,2.4,2.4,1.7,4.2,30,21,55,0.18,0.18,0.35,0.18,0.35,0.21,0.15,0.37,0.21,0.37
247,Jonjoe Kenny,eng ENG,DF,Everton,20,1997,19,17,"1,590",17.7,0,1,1,0,0,0,2,0,0.1,0.1,1.5,1.6,16,48,51,0,0.06,0.06,0,0.06,0.01,0.08,0.09,0.01,0.09
248,Andy King,wls WAL,MF,Leicester City,28,1988,11,5,537,6,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,3,13,6,0.17,0,0.17,0.17,0.17,0.09,0.02,0.1,0.09,0.1
249,Andy King,wls WAL,MF,Swansea City,28,1988,11,9,715,7.9,2,1,3,2,0,0,1,0,1,1,0.2,1.2,5,38,5,0.25,0.13,0.38,0.25,0.38,0.12,0.03,0.15,0.12,0.15
250,Joshua King,no NOR,"FW,MF",Bournemouth,25,1992,33,27,"2,453",27.3,8,3,11,6,2,2,3,0,6.5,4.9,4.9,9.8,84,83,215,0.29,0.11,0.4,0.22,0.33,0.24,0.18,0.42,0.18,0.36
251,Davy Klaassen,nl NED,"MF,FW",Everton,24,1993,7,3,251,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,11,4,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07
252,Ragnar Klavan,ee EST,DF,Liverpool,31,1985,19,16,"1,451",16.1,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1,15,73,5,0.06,0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06
253,Anthony Knockaert,fr FRA,"MF,FW",Brighton,25,1991,33,27,"2,421",26.9,3,1,4,3,0,0,4,1,4.1,4.1,3.2,7.3,92,124,153,0.11,0.04,0.15,0.11,0.15,0.15,0.12,0.27,0.15,0.27
254,Sead Kolašinac,ba BIH,DF,Arsenal,24,1993,27,25,"2,147",23.9,2,4,6,2,0,0,3,0,2.2,2.2,3.5,5.8,68,105,186,0.08,0.17,0.25,0.08,0.25,0.09,0.15,0.24,0.09,0.24
255,Vincent Kompany,be BEL,DF,Manchester City,31,1986,17,17,"1,394",15.5,1,1,2,1,0,0,6,0,0.8,0.8,0.5,1.3,31,85,3,0.06,0.06,0.13,0.06,0.13,0.05,0.03,0.08,0.05,0.08
256,Terence Kongolo,nl NED,DF,Huddersfield,23,1994,13,11,"1,049",11.7,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,7,36,21,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
257,Laurent Koscielny,fr FRA,DF,Arsenal,31,1985,25,25,"2,225",24.7,2,0,2,2,0,0,4,0,1.9,1.9,0.4,2.3,25,124,10,0.08,0,0.08,0.08,0.08,0.08,0.02,0.09,0.08,0.09
258,Cheikhou Kouyaté,sn SEN,MF,West Ham,27,1989,33,32,"2,799",31.1,2,3,5,2,0,0,5,0,2.7,2.7,1.1,3.8,27,66,64,0.06,0.1,0.16,0.06,0.16,0.09,0.04,0.12,0.09,0.12
259,Bojan Krkić,es ESP,MF,Stoke City,26,1990,1,1,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0.1,1,2,3,0,0,0,0,0,0.04,0.04,0.08,0.04,0.08
260,Grzegorz Krychowiak,pl POL,MF,West Brom,27,1990,27,20,"1,641",18.2,0,2,2,0,0,0,2,0,0.8,0.8,1.8,2.6,22,101,25,0,0.11,0.11,0,0.11,0.04,0.1,0.14,0.04,0.14
261,Rajiv van La Parra,nl NED,"FW,MF",Huddersfield,26,1991,33,26,"2,137",23.7,3,0,3,2,1,1,3,1,3.1,2.3,0.9,3.2,114,65,136,0.13,0,0.13,0.08,0.08,0.13,0.04,0.17,0.1,0.13
262,Alexandre Lacazette,fr FRA,FW,Arsenal,26,1991,32,26,"2,202",24.5,14,4,18,12,2,2,1,0,13.7,12.1,4.4,16.5,39,59,233,0.57,0.16,0.74,0.49,0.65,0.56,0.18,0.74,0.49,0.67
263,Freddie Ladapo,eng ENG,FW,Crystal Palace,24,1993,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
264,Adam Lallana,eng ENG,"MF,FW",Liverpool,29,1988,12,1,308,3.4,0,0,0,0,0,0,1,0,1.5,1.5,0.4,1.8,12,33,38,0,0,0,0,0,0.55,0.13,0.68,0.55,0.68
265,Érik Lamela,ar ARG,"FW,MF",Tottenham,25,1992,25,7,843,9.4,2,2,4,2,0,0,4,0,3.4,3.4,2,5.4,30,46,116,0.21,0.21,0.43,0.21,0.43,0.37,0.21,0.57,0.37,0.57
266,Manuel Lanzini,ar ARG,"MF,FW",West Ham,24,1993,27,23,"2,042",22.7,5,6,11,5,0,1,4,0,3.9,3.1,4.1,7.2,65,156,96,0.22,0.26,0.48,0.22,0.48,0.17,0.18,0.35,0.14,0.32
267,Aymeric Laporte,es ESP,DF,Manchester City,23,1994,9,9,806,9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,15,72,5,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
268,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,23,1993,33,32,"2,928",32.5,3,0,3,3,0,0,5,0,1.1,1.1,0.7,1.8,17,73,10,0.09,0,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05
269,Florian Lejeune,fr FRA,DF,Newcastle Utd,26,1991,24,24,"2,103",23.4,0,2,2,0,0,0,3,0,0.6,0.6,1.5,2.1,18,67,4,0,0.09,0.09,0,0.09,0.03,0.06,0.09,0.03,0.09
270,Mario Lemina,ga GAB,MF,Southampton,23,1993,25,20,"1,720",19.1,1,1,2,1,0,0,2,0,0.8,0.8,0.7,1.5,51,86,36,0.05,0.05,0.1,0.05,0.1,0.04,0.04,0.08,0.04,0.08
271,Aaron Lennon,eng ENG,MF,Burnley,30,1987,14,13,"1,118",12.4,0,2,2,0,0,0,2,0,0.6,0.6,0.8,1.4,26,28,60,0,0.16,0.16,0,0.16,0.05,0.07,0.11,0.05,0.11
272,Aaron Lennon,eng ENG,"FW,MF",Everton,30,1987,15,9,793,8.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,17,19,33,0,0,0,0,0,0.03,0.03,0.05,0.03,0.05
273,Victor Lindelöf,se SWE,DF,Manchester Utd,23,1994,17,13,"1,285",14.3,0,0,0,0,0,0,1,0,0,0,0.3,0.3,11,42,6,0,0,0,0,0,0,0.02,0.02,0,0.02
274,Jesse Lingard,eng ENG,"MF,FW",Manchester Utd,24,1992,33,20,"1,817",20.2,8,5,13,8,0,0,2,0,7.1,7.1,2.8,9.9,78,75,143,0.4,0.25,0.64,0.4,0.64,0.35,0.14,0.49,0.35,0.49
275,Jake Livermore,eng ENG,MF,West Brom,27,1989,34,30,"2,674",29.7,2,2,4,2,0,0,5,0,2.3,2.3,1.9,4.2,26,133,55,0.07,0.07,0.13,0.07,0.13,0.08,0.06,0.14,0.08,0.14
276,Fernando Llorente,es ESP,"FW,MF",Tottenham,32,1985,16,1,238,2.6,1,0,1,1,0,0,1,0,1,1,0.2,1.2,3,4,32,0.38,0,0.38,0.38,0.38,0.38,0.06,0.44,0.38,0.44
277,Hugo Lloris,fr FRA,GK,Tottenham,30,1986,36,36,"3,240",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Jürgen Locadia,nl NED,"FW,MF",Brighton,23,1993,6,3,224,2.5,1,1,2,1,0,0,0,0,1.1,1.1,0.1,1.2,2,4,11,0.4,0.4,0.8,0.4,0.8,0.44,0.04,0.48,0.44,0.48
279,Ruben Loftus-Cheek,eng ENG,MF,Crystal Palace,21,1996,24,21,"1,874",20.8,2,3,5,2,0,0,1,0,3.5,3.5,3.2,6.7,94,106,126,0.1,0.14,0.24,0.1,0.24,0.17,0.15,0.32,0.17,0.32
280,Joe Lolley,eng ENG,"FW,MF",Huddersfield,24,1992,6,2,221,2.5,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,11,11,17,0.41,0,0.41,0.41,0.41,0.05,0.03,0.08,0.05,0.08
281,Kevin Long,ie IRL,DF,Burnley,26,1990,16,16,"1,440",16,1,2,3,1,0,0,1,0,1.2,1.2,1.3,2.5,1,28,1,0.06,0.12,0.19,0.06,0.19,0.07,0.08,0.15,0.07,0.15
282,Shane Long,ie IRL,FW,Southampton,30,1987,30,15,"1,582",17.6,2,1,3,2,0,0,6,0,3.7,3.7,1.3,5,17,21,151,0.11,0.06,0.17,0.11,0.17,0.21,0.07,0.29,0.21,0.29
283,Ademola Lookman,ng NGA,"FW,MF",Everton,19,1997,7,1,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,8,6,7,0,0,0,0,0,0.06,0.26,0.32,0.06,0.32
284,Jonas Lössl,dk DEN,GK,Huddersfield,28,1989,38,38,"3,420",38,0,1,1,0,0,0,1,0,0,0,0.6,0.6,0,2,0,0,0.03,0.03,0,0.03,0,0.02,0.02,0,0.02
285,Dejan Lovren,hr CRO,DF,Liverpool,28,1989,29,24,"2,127",23.6,2,1,3,2,0,0,4,0,1.4,1.4,1.3,2.6,20,98,7,0.08,0.04,0.13,0.08,0.13,0.06,0.05,0.11,0.06,0.11
286,Chris Löwe,de GER,DF,Huddersfield,28,1989,23,19,"1,588",17.6,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.7,34,55,49,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
287,Matthew Lowton,eng ENG,DF,Burnley,28,1989,26,25,"2,295",25.5,0,3,3,0,0,0,1,0,0.1,0.1,1.6,1.7,18,82,69,0,0.12,0.12,0,0.12,0,0.06,0.07,0,0.07
288,David Luiz,br BRA,"DF,MF",Chelsea,30,1987,10,9,840,9.3,1,0,1,1,0,0,4,1,0.9,0.9,0,1,19,31,4,0.11,0,0.11,0.11,0.11,0.1,0,0.1,0.1,0.1
289,Romelu Lukaku,be BEL,FW,Manchester Utd,24,1993,34,33,"2,867",31.9,16,7,23,16,0,1,4,0,13.2,12.4,4.7,17,57,63,216,0.5,0.22,0.72,0.5,0.72,0.41,0.15,0.56,0.39,0.54
290,Dodi Lukebakio,be BEL,"MF,FW",Watford,19,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,3,0,0,0,0,0,0.15,0.59,0.75,0.15,0.75
291,Levi Lumeka,eng ENG,FW,Crystal Palace,18,1998,1,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,0,3,0,0,0,0,0,0.2,0,0.2,0.2,0.2
292,Harry Maguire,eng ENG,DF,Leicester City,24,1993,38,38,"3,420",38,2,4,6,2,0,0,7,0,2.8,2.8,4.1,6.9,58,178,18,0.05,0.11,0.16,0.05,0.16,0.07,0.11,0.18,0.07,0.18
293,Riyad Mahrez,dz ALG,"MF,FW",Leicester City,26,1991,36,34,"2,950",32.8,12,10,22,12,0,0,2,0,6.5,6.5,7.2,13.8,121,190,191,0.37,0.31,0.67,0.37,0.67,0.2,0.22,0.42,0.2,0.42
294,Ainsley Maitland-Niles,eng ENG,"DF,MF",Arsenal,19,1997,15,8,914,10.2,0,0,0,0,0,0,1,0,0.2,0.2,0.9,1.1,21,35,58,0,0,0,0,0,0.02,0.08,0.11,0.02,0.11
295,Scott Malone,eng ENG,DF,Huddersfield,26,1991,22,12,"1,119",12.4,0,1,1,0,0,0,3,0,0.5,0.5,0.5,1,48,51,69,0,0.08,0.08,0,0.08,0.04,0.04,0.08,0.04,0.08
296,Sadio Mané,sn SEN,FW,Liverpool,25,1992,29,28,"2,190",24.3,10,7,17,10,0,0,3,1,10.6,10.6,5.4,16,112,120,270,0.41,0.29,0.7,0.41,0.7,0.44,0.22,0.66,0.44,0.66
297,Eliaquim Mangala,fr FRA,DF,Everton,26,1991,2,2,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,7,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05
298,Eliaquim Mangala,fr FRA,DF,Manchester City,26,1991,9,4,488,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,5,15,1,0,0,0,0,0,0.03,0.01,0.03,0.03,0.03
299,Javier Manquillo,es ESP,DF,Newcastle Utd,23,1994,21,20,"1,758",19.5,0,1,1,0,0,0,2,0,0.1,0.1,1.3,1.4,29,55,33,0,0.05,0.05,0,0.05,0,0.07,0.07,0,0.07
300,Solly March,eng ENG,"MF,FW",Brighton,23,1994,36,18,"1,851",20.6,1,1,2,1,0,0,3,0,1.5,1.5,1.4,2.9,59,60,141,0.05,0.05,0.1,0.05,0.1,0.07,0.07,0.14,0.07,0.14
301,Adrian Mariappa,jm JAM,DF,Watford,30,1986,28,24,"2,210",24.6,0,0,0,0,0,0,4,0,0.7,0.7,0.2,0.8,8,60,6,0,0,0,0,0,0.03,0.01,0.03,0.03,0.03
302,João Mário,pt POR,MF,West Ham,24,1993,13,12,"1,022",11.4,2,1,3,2,0,0,0,0,1.7,1.7,1.4,3.1,34,43,74,0.18,0.09,0.26,0.18,0.26,0.15,0.12,0.27,0.15,0.27
303,Anthony Martial,fr FRA,FW,Manchester Utd,21,1995,30,18,"1,582",17.6,9,5,14,8,1,1,1,0,6.3,5.5,5.1,10.6,107,52,182,0.51,0.28,0.8,0.46,0.74,0.36,0.29,0.65,0.31,0.6
304,Cuco Martina,cw CUW,DF,Everton,27,1989,21,20,"1,830",20.3,0,2,2,0,0,0,2,0,0.1,0.1,1.4,1.5,28,68,74,0,0.1,0.1,0,0.1,0,0.07,0.07,0,0.07
305,Bruno Martins Indi,nl NED,DF,Stoke City,25,1992,17,14,"1,243",13.8,0,0,0,0,0,0,3,0,1,1,0.1,1.1,2,28,4,0,0,0,0,0,0.07,0.01,0.08,0.07,0.08
306,Arthur Masuaku,cd COD,DF,West Ham,23,1993,27,21,"1,870",20.8,0,3,3,0,0,0,5,0,0.3,0.3,2,2.2,94,56,115,0,0.14,0.14,0,0.14,0.01,0.09,0.11,0.01,0.11
307,Juan Mata,es ESP,FW,Manchester Utd,29,1988,28,23,"1,922",21.4,3,5,8,3,0,0,1,0,3.7,3.7,4.5,8.3,46,101,162,0.14,0.23,0.37,0.14,0.37,0.18,0.21,0.39,0.18,0.39
308,Nemanja Matić,rs SRB,MF,Manchester Utd,28,1988,36,35,"3,118",34.6,1,1,2,1,0,0,6,0,0.7,0.7,1.6,2.3,74,237,23,0.03,0.03,0.06,0.03,0.06,0.02,0.05,0.07,0.02,0.07
309,Joël Matip,cm CMR,DF,Liverpool,25,1991,25,22,"1,997",22.2,1,0,1,1,0,0,3,0,1.9,1.9,0.3,2.2,23,108,5,0.05,0,0.05,0.05,0.05,0.09,0.01,0.1,0.09,0.1
310,Konstantinos Mavropanos,gr GRE,DF,Arsenal,19,1997,3,3,195,2.2,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
311,Alfie Mawson,eng ENG,DF,Swansea City,23,1994,38,38,"3,420",38,2,1,3,2,0,0,3,0,1.9,1.9,0.6,2.5,29,92,8,0.05,0.03,0.08,0.05,0.08,0.05,0.02,0.06,0.05,0.06
312,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Stoke City,28,1989,30,26,"2,314",25.7,5,5,10,5,0,0,3,0,5.9,5.9,3.1,9.1,72,56,173,0.19,0.19,0.39,0.19,0.39,0.24,0.13,0.36,0.24,0.36
313,Chancel Mbemba,cd COD,DF,Newcastle Utd,22,1994,9,7,672,7.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,9,21,11,0,0,0,0,0,0,0.06,0.06,0,0.06
314,James McArthur,sct SCO,MF,Crystal Palace,29,1987,33,27,"2,431",27,5,1,6,5,0,0,5,0,3.7,3.7,2.2,5.9,32,107,94,0.19,0.04,0.22,0.19,0.22,0.14,0.08,0.22,0.14,0.22
315,Gareth McAuley,nir NIR,DF,West Brom,37,1979,9,5,458,5.1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0
316,Oliver McBurnie,sct SCO,"FW,MF",Swansea City,21,1996,11,2,276,3.1,0,1,1,0,0,0,0,0,0.4,0.4,0.7,1.1,4,9,26,0,0.33,0.33,0,0.33,0.14,0.22,0.36,0.14,0.36
317,Alex McCarthy,eng ENG,GK,Southampton,27,1989,18,18,"1,620",18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,James McCarthy,ie IRL,MF,Everton,26,1990,4,3,205,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,12,4,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
319,James McClean,ie IRL,"MF,FW",West Brom,28,1989,30,14,"1,406",15.6,1,0,1,1,0,0,7,0,1.8,1.8,0.8,2.7,49,12,94,0.06,0,0.06,0.06,0.06,0.12,0.05,0.17,0.12,0.17
320,Sam McQueen,eng ENG,"DF,MF",Southampton,22,1995,7,1,148,1.6,0,0,0,0,0,0,0,0,0,0,0.2,0.2,7,4,5,0,0,0,0,0,0.02,0.09,0.11,0.02,0.11
321,Scott McTominay,sct SCO,MF,Manchester Utd,20,1996,13,7,634,7,0,0,0,0,0,0,2,0,0,0,0,0.1,11,48,8,0,0,0,0,0,0,0.01,0.01,0,0.01
322,Ben Mee,eng ENG,DF,Burnley,27,1989,29,29,"2,610",29,0,0,0,0,0,0,5,0,1.9,1.9,0.5,2.3,5,77,3,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08
323,Benjamin Mendy,fr FRA,"DF,FW",Manchester City,23,1994,7,4,363,4,0,1,1,0,0,0,2,0,0.1,0.1,0.8,0.9,21,27,62,0,0.25,0.25,0,0.25,0.03,0.19,0.23,0.03,0.23
324,Mikel Merino,es ESP,MF,Newcastle Utd,21,1996,24,14,"1,347",15,1,1,2,1,0,0,4,0,0.6,0.6,0.9,1.5,25,108,15,0.07,0.07,0.13,0.07,0.13,0.04,0.06,0.1,0.04,0.1
325,Per Mertesacker,de GER,DF,Arsenal,32,1984,6,4,366,4.1,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,0,6,1,0.25,0,0.25,0.25,0.25,0.05,0,0.05,0.05,0.05
326,Roque Mesa,es ESP,MF,Swansea City,28,1989,11,9,754,8.4,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,12,36,1,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
327,Simon Mignolet,be BEL,GK,Liverpool,29,1988,19,19,"1,710",19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Luka Milivojević,rs SRB,MF,Crystal Palace,26,1991,36,35,"3,080",34.2,10,1,11,3,7,8,8,0,8.2,1.8,1,2.9,24,180,18,0.29,0.03,0.32,0.09,0.12,0.24,0.03,0.27,0.05,0.08
329,James Milner,eng ENG,MF,Liverpool,31,1986,32,16,"1,775",19.7,0,3,3,0,0,0,3,0,1.1,1.1,3.2,4.3,59,219,163,0,0.15,0.15,0,0.15,0.05,0.16,0.22,0.05,0.22
330,Tyrone Mings,eng ENG,DF,Bournemouth,24,1993,4,3,201,2.2,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,8,1,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
331,Kevin Mirallas,be BEL,"FW,MF",Everton,29,1987,5,2,138,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,10,3,11,0,0,0,0,0,0.12,0.04,0.16,0.12,0.16
332,Aleksandar Mitrović,rs SRB,FW,Newcastle Utd,22,1994,6,0,95,1.1,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.3,4,3,15,0.95,0,0.95,0.95,0.95,1.14,0.15,1.29,1.14,1.29
333,Henrikh Mkhitaryan,am ARM,"FW,MF",Arsenal,28,1989,11,9,794,8.8,2,4,6,2,0,0,0,0,1.5,1.5,2.8,4.2,34,55,81,0.23,0.45,0.68,0.23,0.68,0.17,0.31,0.48,0.17,0.48
334,Henrikh Mkhitaryan,am ARM,"MF,FW",Manchester Utd,28,1989,15,11,922,10.2,1,5,6,1,0,0,2,0,0.8,0.8,3,3.8,40,61,69,0.1,0.49,0.59,0.1,0.59,0.07,0.29,0.37,0.07,0.37
335,Nacho Monreal,es ESP,DF,Arsenal,31,1986,28,26,"2,243",24.9,5,2,7,5,0,0,3,0,1.7,1.7,2.6,4.3,41,138,73,0.2,0.08,0.28,0.2,0.28,0.07,0.11,0.17,0.07,0.17
336,Aaron Mooy,au AUS,MF,Huddersfield,26,1990,36,34,"3,067",34.1,4,3,7,3,1,1,4,0,3,2.2,4,6.2,55,239,77,0.12,0.09,0.21,0.09,0.18,0.09,0.12,0.2,0.06,0.18
337,Álvaro Morata,es ESP,FW,Chelsea,24,1992,31,24,"2,061",22.9,11,6,17,11,0,0,7,0,13,13,3.1,16,54,46,228,0.48,0.26,0.74,0.48,0.74,0.57,0.13,0.7,0.57,0.7
338,Alberto Moreno,es ESP,DF,Liverpool,25,1992,16,14,"1,266",14.1,0,0,0,0,0,0,1,0,0.5,0.5,0.8,1.3,32,59,81,0,0,0,0,0,0.04,0.06,0.09,0.04,0.09
339,Wes Morgan,jm JAM,DF,Leicester City,33,1984,32,32,"2,817",31.3,0,0,0,0,0,0,4,0,1.6,1.6,0.4,2,13,50,11,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06
340,James Morrison,sct SCO,MF,West Brom,31,1986,4,2,207,2.3,1,0,1,1,0,0,0,0,1,1,0.1,1.1,1,11,16,0.43,0,0.43,0.43,0.43,0.44,0.04,0.49,0.44,0.49
341,Victor Moses,ng NGA,"DF,MF",Chelsea,26,1990,28,25,"2,110",23.4,3,3,6,3,0,0,3,0,3,3,2.4,5.4,95,66,203,0.13,0.13,0.26,0.13,0.26,0.13,0.1,0.23,0.13,0.23
342,Steve Mounié,bj BEN,FW,Huddersfield,22,1994,28,21,"1,855",20.6,7,1,8,7,0,0,2,0,5.2,5.2,1.8,7,13,27,93,0.34,0.05,0.39,0.34,0.39,0.25,0.09,0.34,0.25,0.34
343,Lucas Moura,br BRA,"FW,MF",Tottenham,24,1992,6,2,210,2.3,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.4,15,12,37,0,0.43,0.43,0,0.43,0.08,0.11,0.18,0.08,0.18
344,Lys Mousset,fr FRA,"FW,MF",Bournemouth,21,1996,23,4,596,6.6,2,0,2,2,0,0,1,0,1.2,1.2,0.8,2.1,18,16,53,0.3,0,0.3,0.3,0.3,0.18,0.13,0.31,0.18,0.31
345,Jacob Murphy,eng ENG,"MF,FW",Newcastle Utd,22,1995,25,13,"1,148",12.8,1,1,2,1,0,0,0,0,1.8,1.8,1.3,3.1,48,32,85,0.08,0.08,0.16,0.08,0.16,0.14,0.1,0.24,0.14,0.24
346,Jamie Murphy,sct SCO,MF,Brighton,27,1989,4,1,168,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,7,4,14,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
347,Glenn Murray,eng ENG,FW,Brighton,33,1983,35,25,"2,192",24.4,12,0,12,8,4,6,9,0,11.9,7.5,1.6,9.1,12,38,138,0.49,0,0.49,0.33,0.33,0.49,0.07,0.55,0.31,0.37
348,Charly Musonda Jr.,be BEL,FW,Chelsea,20,1996,3,0,37,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,1,1,4,0,0,0,0,0,0.4,1.27,1.67,0.4,1.67
349,Shkodran Mustafi,de GER,DF,Arsenal,25,1992,27,25,"2,273",25.3,3,1,4,3,0,0,6,0,0.8,0.8,1.3,2.1,12,92,9,0.12,0.04,0.16,0.12,0.16,0.03,0.05,0.08,0.03,0.08
350,Boaz Myhill,wls WAL,GK,West Brom,34,1982,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,Georges-Kévin N'Koudou,cm CMR,MF,Tottenham,22,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
352,Georges-Kévin N'Koudou,cm CMR,"MF,FW",Burnley,22,1995,8,2,228,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,13,5,15,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08
353,Luciano Narsingh,nl NED,"FW,MF",Swansea City,26,1990,18,5,625,6.9,1,0,1,1,0,0,0,0,0.8,0.8,1.1,2,30,15,73,0.14,0,0.14,0.14,0.14,0.12,0.16,0.28,0.12,0.28
354,Kyle Naughton,eng ENG,DF,Swansea City,28,1988,34,34,"3,030",33.7,0,2,2,0,0,0,1,0,0.4,0.4,0.5,0.8,50,193,88,0,0.06,0.06,0,0.06,0.01,0.01,0.03,0.01,0.03
355,Badou Ndiaye,sn SEN,MF,Stoke City,26,1990,13,13,"1,138",12.6,2,1,3,2,0,0,5,0,1.6,1.6,0.3,1.9,12,46,20,0.16,0.08,0.24,0.16,0.24,0.13,0.02,0.15,0.13,0.15
356,Wilfred Ndidi,ng NGA,MF,Leicester City,20,1996,33,33,"2,898",32.2,0,3,3,0,0,0,8,4,2.1,2.1,0.6,2.6,30,136,48,0,0.09,0.09,0,0.09,0.06,0.02,0.08,0.06,0.08
357,Reiss Nelson,eng ENG,"FW,MF",Arsenal,17,1999,3,2,145,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,8,13,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08
358,Julien Ngoy,be BEL,MF,Stoke City,19,1997,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
359,Oumar Niasse,sn SEN,FW,Everton,27,1990,22,10,"1,087",12.1,8,2,10,8,0,0,2,0,7,7,1.4,8.4,21,17,106,0.66,0.17,0.83,0.66,0.83,0.58,0.11,0.69,0.58,0.69
360,Eddie Nketiah,eng ENG,FW,Arsenal,18,1999,3,0,20,0.2,0,1,1,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,4.5,4.5,0,4.5,0.29,0,0.29,0.29,0.29
361,Lukas Nmecha,de GER,FW,Manchester City,18,1998,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
