player,position,team,goals,shots,shots_on_target,goals/shots,goals/shots_on_target,average_shot_distance,shots_from_free_kicks,shots_from_penalties,non_penalty_expected_goals/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
Tom Trybull,MF,Norwich City,11,2,0,0,18.4,0,0,0,0.04,-0.5,-0.5
Leandro Trossard,"FW,MF",Brighton,41,11,0.12,0.45,16,0,0,0,0.12,0,0
Trézéguet,"FW,MF",Aston Villa,50,17,0.12,0.35,17.4,4,0,0,0.09,1.3,1.3
Mark Travers,GK,Bournemouth,0,0,,,,0,0,0,,0,0
Adama Traoré,"FW,DF",Wolves,43,12,0.09,0.33,19.8,0,0,0,0.09,0.2,0.2
Andros Townsend,"FW,MF",Crystal Palace,12,5,0.08,0.2,26.1,1,0,0,0.03,0.6,0.6
Cenk Tosun,FW,Everton,11,3,0.09,0.33,14.2,0,0,0,0.09,0,0
Cenk Tosun,FW,Crystal Palace,4,2,0.25,0.5,12.4,0,0,0,0.13,0.5,0.5
Lucas Torreira,MF,Arsenal,21,6,0.05,0.17,18.8,0,0,0,0.07,-0.4,-0.4
Fikayo Tomori,DF,Chelsea,7,3,0.14,0.33,14.6,0,0,0,0.06,0.6,0.6
James Tomkins,DF,Crystal Palace,9,2,0.11,0.5,8.9,0,0,0,0.12,-0.1,-0.1
Kieran Tierney,"DF,MF",Arsenal,6,2,0.17,0.5,20.6,0,0,0,0.04,0.8,0.8
Youri Tielemans,MF,Leicester City,56,13,0.05,0.23,23.8,0,0,0,0.05,0.3,0.3
Max Thompson,FW,Burnley,0,0,,,,0,0,0,,0,0
Luke Thomas,"MF,DF",Leicester City,0,0,,,,0,0,0,,0,0
Jordan Thomas,FW,Norwich City,0,0,,,,0,0,0,,0,0
Alexander Tettey,"MF,DF",Norwich City,23,3,0.04,0.33,24.7,0,0,0,0.04,0.2,0.2
Nathan Tella,FW,Southampton,1,1,0,0,17.7,0,0,0,0.04,0,0
Neil Taylor,DF,Aston Villa,3,0,0,,15.1,0,0,0,0.06,-0.2,-0.2
Charlie Taylor,DF,Burnley,1,0,0,,22.2,0,0,0,0.03,0,0
James Tarkowski,DF,Burnley,21,5,0.1,0.4,9.1,0,0,0,0.1,-0.1,-0.1
Matt Targett,"DF,MF",Aston Villa,7,4,0.14,0.25,16.5,1,0,0,0.06,0.6,0.6
Japhet Tanganga,DF,Tottenham,3,1,0,0,27.1,0,0,0,0.02,-0.1,-0.1
Sam Surridge,"FW,MF",Bournemouth,2,0,0,,11.9,0,0,0,0.26,-0.5,-0.5
Andrew Surman,MF,Bournemouth,1,0,0,,26.6,0,0,0,0.02,0,0
Ki Sung-yueng,MF,Newcastle Utd,0,0,,,,0,0,0,,0,0
Isaac Success,"FW,MF",Watford,1,1,0,0,10.7,0,0,0,0.05,-0.1,-0.1
John Stones,DF,Manchester City,6,1,0,0,9.6,0,0,0,0.07,-0.4,-0.4
Marco Stiepermann,MF,Norwich City,19,6,0,0,17.3,0,0,0,0.08,-1.5,-1.5
Enda Stevens,DF,Sheffield Utd,22,4,0.09,0.5,17.8,0,0,0,0.06,0.7,0.7
Raheem Sterling,FW,Manchester City,97,36,0.21,0.56,14,1,0,2,0.17,1.8,3.6
Jack Stephens,DF,Southampton,6,1,0.17,1,9.2,0,0,0,0.17,0,0
Dale Stephens,MF,Brighton,19,2,0,0,25.6,0,0,0,0.03,-0.6,-0.6
Jed Steer,GK,Aston Villa,0,0,,,,0,0,0,,0,0
Junior Stanislas,"MF,FW",Bournemouth,17,6,0.12,0.33,20.4,3,1,1,0.08,0.9,0.6
Jack Stacey,DF,Bournemouth,5,2,0,0,12.3,0,0,0,0.1,-0.5,-0.5
Dennis Srbeny,"MF,FW",Norwich City,2,1,0.5,1,7.8,0,0,0,0.26,0.5,0.5
Çağlar Söyüncü,DF,Leicester City,17,5,0.06,0.2,10.3,0,0,0,0.12,-1.1,-1.1
Tomáš Souček,MF,West Ham,20,7,0.15,0.43,12.8,0,0,0,0.14,0.2,0.2
Dominic Solanke,FW,Bournemouth,32,8,0.09,0.38,14.8,0,0,0,0.14,-1.6,-1.6
Cédric Soares,DF,Southampton,9,4,0,0,20.2,0,0,0,0.07,-0.6,-0.6
Cédric Soares,"MF,DF",Arsenal,1,1,1,1,26.4,0,0,0,0.02,1,1
Robert Snodgrass,"MF,FW",West Ham,21,10,0.24,0.5,16.8,0,0,0,0.12,2.5,2.5
Emile Smith Rowe,MF,Arsenal,0,0,,,,0,0,0,,0,0
Adam Smith,DF,Bournemouth,4,1,0,0,19.5,0,0,0,0.19,-0.8,-0.8
William Smallbone,MF,Southampton,6,0,0,,22.8,0,0,0,0.04,-0.3,-0.3
Oliver Skipp,MF,Tottenham,0,0,,,,0,0,0,,0,0
Moussa Sissoko,MF,Tottenham,15,4,0.13,0.5,15.2,0,0,0,0.14,-0.2,-0.2
Jack Simpson,DF,Bournemouth,1,0,0,,15.3,0,0,0,0.04,0,0
David Silva,MF,Manchester City,47,18,0.13,0.33,14.4,5,0,0,0.14,-0.4,-0.4
Bernardo Silva,"FW,MF",Manchester City,52,15,0.12,0.4,14.2,0,0,0,0.12,0,0
Gylfi Sigurðsson,MF,Everton,45,12,0.02,0.08,22.8,5,1,1,0.07,-2,-2.2
Djibril Sidibé,"DF,MF",Everton,12,3,0,0,24,0,0,0,0.03,-0.4,-0.4
Jonjo Shelvey,MF,Newcastle Utd,45,14,0.13,0.43,26.7,8,0,0,0.05,3.5,3.5
